"","sample.ag..10000..replace...T.","sample.conta..10000..replace...T.","cdlc","valor"
"1","01","169",47,54.8971654708263
"2","01","181",51,39.5203843034243
"3","02","175",60,55.1394210231264
"4","01","223",55,27.7261714278191
"5","02","161",53,67.0289119023916
"6","01","190",52,41.9042446887663
"7","01","156",46,71.7922542699806
"8","01","181",48,50.3702084132013
"9","01","177",50,35.5020203211372
"10","02","237",45,46.0011087134378
"11","01","162",49,34.8074981632153
"12","01","150",53,48.1816582875935
"13","02","197",48,62.3280260309046
"14","01","232",49,50.6988025366856
"15","02","164",54,39.4561102086078
"16","02","221",51,68.6489775111824
"17","02","163",46,51.6659613469025
"18","02","191",49,53.0048627885921
"19","02","199",49,46.5503672943289
"20","01","156",52,67.7209342596764
"21","02","230",45,37.2436619347412
"22","01","186",49,40.6781216890288
"23","01","217",48,49.3109029783235
"24","02","152",47,53.0135470058285
"25","01","222",45,45.2057437550999
"26","02","180",53,61.4395995917321
"27","01","171",56,66.8920165461115
"28","02","202",45,67.3831353269809
"29","02","236",51,47.923833653308
"30","02","218",51,49.2884948366059
"31","01","174",46,31.4134419086556
"32","02","183",45,61.8760109798972
"33","02","237",55,44.2524539168599
"34","01","159",59,52.463446420863
"35","02","179",46,59.6148850765211
"36","01","150",47,78.6447628340962
"37","02","169",49,43.3480779696274
"38","01","201",48,35.430472149068
"39","01","192",46,54.160082741404
"40","02","215",59,42.7573812170824
"41","01","214",57,44.7285323238521
"42","02","233",58,30.639184910922
"43","01","164",56,49.5962154637377
"44","01","165",52,53.9883131454382
"45","02","207",51,55.1625012894362
"46","02","173",45,37.6543634313642
"47","02","181",54,57.5378791655379
"48","02","212",51,51.7225012214692
"49","01","201",55,54.2109976799051
"50","02","170",50,24.9350764707141
"51","02","148",55,32.9015618303468
"52","01","172",56,40.599568830997
"53","02","214",48,56.2872961462545
"54","01","174",53,47.1545977324214
"55","02","188",51,75.4256801022509
"56","01","192",46,41.6969903199297
"57","01","178",56,52.0936660213286
"58","01","142",58,26.0960340694264
"59","02","150",60,38.7677265283168
"60","02","207",57,34.1422639247327
"61","02","216",58,66.1663927182713
"62","02","161",60,42.8191534484684
"63","02","186",51,34.6120219990943
"64","02","195",57,49.4338804704679
"65","02","176",47,44.2357151421794
"66","02","193",55,68.9250674139384
"67","01","189",56,58.3227948817063
"68","01","198",58,35.5084460030833
"69","01","221",56,65.7393519145
"70","02","207",59,56.0067228911723
"71","02","179",57,45.4199984161661
"72","02","194",49,57.9937261185887
"73","01","192",54,50.4022601518215
"74","01","196",48,43.6738552320813
"75","01","165",50,15.5863217585414
"76","01","186",60,43.2664313139787
"77","01","183",56,63.0160718082855
"78","01","201",47,34.8735583763216
"79","02","191",57,74.2604053825894
"80","02","234",54,97.369759230379
"81","01","215",60,78.1939605345287
"82","01","227",49,43.7109041303601
"83","01","195",54,68.3691435692805
"84","02","238",47,42.4082287298028
"85","01","190",54,48.6994361364966
"86","02","215",59,59.2517842186802
"87","01","197",48,48.3720950407355
"88","02","218",47,32.5149563361883
"89","02","173",46,36.4876388619113
"90","01","214",46,38.6222479639404
"91","02","201",59,51.440010016516
"92","01","189",58,35.7024424094396
"93","02","180",49,18.842895861028
"94","02","176",54,63.441112730063
"95","02","157",59,51.0286233646019
"96","01","163",56,66.224182609505
"97","02","205",50,57.6333446979935
"98","01","160",58,30.9322691988315
"99","02","190",60,46.3714662106775
"100","01","174",57,41.7716000085859
"101","01","195",45,40.8749241531503
"102","02","205",59,24.7326536182688
"103","01","236",54,83.292816636597
"104","02","144",59,35.2748684653092
"105","02","171",50,29.5758184915885
"106","02","175",50,44.6585474152187
"107","01","230",48,57.6456911339276
"108","01","162",60,28.343966152332
"109","02","204",58,36.4704323889535
"110","02","181",45,56.7836862489648
"111","02","165",49,26.4207415746186
"112","02","217",45,65.7628618000674
"113","01","141",49,39.7022326667759
"114","01","178",52,45.3108828992358
"115","01","182",60,63.8791831256623
"116","02","226",46,67.0886299280081
"117","01","153",52,35.59750531321
"118","01","181",55,71.6059733905467
"119","02","155",51,27.6562625142986
"120","01","200",57,43.1870859011721
"121","01","159",55,49.7341199036768
"122","01","226",60,70.5505591940701
"123","01","187",50,32.1548651732821
"124","02","232",53,67.0071003968435
"125","01","239",53,59.5342420309269
"126","02","155",46,66.8460606029134
"127","01","180",51,51.3569666011158
"128","02","235",54,29.8100417368622
"129","01","167",47,74.4693417180888
"130","02","177",51,49.3653614740512
"131","02","219",48,68.508127650673
"132","02","222",52,73.7076089078751
"133","01","148",49,55.3548009968481
"134","02","190",56,38.1732536766116
"135","01","184",53,56.5089444158807
"136","01","221",57,58.0716742693484
"137","02","239",45,49.5840190288261
"138","01","207",46,69.4920490320859
"139","01","166",54,60.0054093614948
"140","02","214",51,61.7479783957483
"141","01","180",57,56.4495759403271
"142","01","228",56,46.1841218197847
"143","01","187",47,40.9808279838079
"144","02","214",52,26.7438560943936
"145","01","142",57,53.3246447454292
"146","02","174",58,63.8361569668693
"147","01","197",47,54.8631455991093
"148","01","229",58,47.000244478484
"149","02","213",48,50.6538327774261
"150","02","155",54,48.2001060534886
"151","01","240",60,40.8001115856575
"152","02","179",51,41.2754578716932
"153","01","145",56,58.1227950297244
"154","02","181",45,76.5678147818221
"155","02","239",60,61.0346987991411
"156","01","155",46,51.1705997124508
"157","02","142",45,67.1864254563767
"158","01","197",45,50.4570846383951
"159","01","184",59,41.3811665697644
"160","01","165",60,51.7746548952105
"161","01","186",54,26.632443149849
"162","01","229",53,54.940303357334
"163","02","236",53,53.9474679514697
"164","01","211",50,46.6805914067263
"165","01","151",49,71.8880823614145
"166","01","209",49,48.3461787530704
"167","01","184",54,38.3705194684397
"168","02","185",45,18.5736369556275
"169","02","170",57,66.9509830491577
"170","02","191",45,30.6646190273681
"171","01","207",52,50.1236064936186
"172","01","197",60,51.920965117907
"173","01","149",49,50.050725910877
"174","02","170",51,33.2187660201398
"175","02","209",48,15.9736757758219
"176","01","166",47,21.3415228008594
"177","02","213",48,52.2253978243033
"178","02","204",60,52.1182295837702
"179","01","206",58,62.5710158082922
"180","02","163",46,69.8302623501916
"181","01","182",57,68.884947493446
"182","02","224",46,45.6251340306912
"183","01","181",50,46.1750866965631
"184","01","164",59,28.5062016540369
"185","01","161",47,61.3725348817812
"186","01","179",53,54.3711709116747
"187","01","209",55,18.8497689300495
"188","01","220",50,42.6090778135307
"189","01","231",56,53.4448452068193
"190","02","218",56,58.3558359032035
"191","01","143",53,69.0995809718689
"192","01","197",46,33.7472002867416
"193","02","186",46,50.9130321340962
"194","01","239",45,37.9450986660763
"195","02","163",47,44.2398247935995
"196","01","207",51,68.2894367602039
"197","01","161",52,42.2225330143144
"198","02","150",60,45.5426724764104
"199","02","144",46,50.5337605732648
"200","02","153",48,75.394979160308
"201","02","167",59,48.2233237215407
"202","02","165",58,56.2798195427586
"203","01","229",51,48.3638249358749
"204","01","165",48,49.1146603927498
"205","01","161",51,64.6044210009964
"206","02","199",50,70.9092229110895
"207","02","237",59,92.394766632949
"208","02","239",56,55.9229306496669
"209","02","191",52,47.8589002052051
"210","02","223",51,40.8040967427016
"211","01","219",56,63.5734196379714
"212","02","174",59,35.78660470009
"213","01","188",48,41.8712457657832
"214","02","153",60,35.3932603961143
"215","02","188",50,37.0981120364989
"216","02","184",56,28.2256211682339
"217","02","212",54,63.3306164339681
"218","02","173",52,64.9688565736907
"219","02","150",58,48.5030558508472
"220","01","214",54,47.8728490848408
"221","01","234",50,53.927416530066
"222","01","220",60,50.3441960784739
"223","02","145",51,59.8815151927917
"224","02","214",57,37.8300616613554
"225","01","182",55,25.9791119535353
"226","02","181",59,74.4532821280975
"227","01","209",55,68.2961654092005
"228","02","163",56,77.6912593775021
"229","02","198",46,64.2647762330771
"230","01","187",60,22.2299188688599
"231","01","213",57,34.5284263533648
"232","01","142",49,41.080787056506
"233","02","210",58,44.4551741194859
"234","01","182",48,42.6313301373241
"235","01","224",53,13.2630327688966
"236","01","220",49,66.8502082648191
"237","02","150",58,62.6879326041448
"238","02","208",52,40.1039534848092
"239","02","175",54,49.3926089167717
"240","01","175",57,54.0666117051415
"241","01","195",51,73.7149329580505
"242","01","181",54,70.7163805772819
"243","02","201",48,41.3953101443472
"244","02","239",60,46.4451790974989
"245","02","227",46,53.8938359177612
"246","02","160",56,62.2230472366998
"247","01","220",60,55.4449475336863
"248","02","177",52,66.6687841429001
"249","01","192",53,41.9794911187916
"250","01","155",46,38.7416958901649
"251","01","214",47,68.6496360166859
"252","02","179",53,73.279875015801
"253","02","141",55,49.6743973392711
"254","01","182",48,64.88057550377
"255","01","152",54,53.1896963088901
"256","02","169",58,46.1603031988076
"257","02","233",59,60.0988442146192
"258","02","145",51,31.5004763477826
"259","01","142",54,26.6439210395433
"260","02","161",55,67.4892767683988
"261","01","194",54,31.969979091791
"262","01","164",60,63.1487301253458
"263","01","176",55,41.8104250143406
"264","02","185",51,59.0119733752064
"265","01","191",53,36.8572978268287
"266","02","193",52,54.8510087042228
"267","02","194",54,77.6135597203792
"268","01","145",56,63.905735128419
"269","01","145",52,44.8701386453374
"270","02","169",45,60.6703528791819
"271","01","217",57,68.1782286095858
"272","01","178",49,37.1176969561502
"273","01","161",45,51.6097509561684
"274","01","170",47,58.454530271564
"275","02","184",48,46.9504760785935
"276","01","181",58,61.7850612092169
"277","02","175",51,45.4957418444621
"278","01","180",47,52.1454142779476
"279","02","192",54,49.8821110589079
"280","01","211",51,50.7857247717282
"281","01","177",45,34.5290728251775
"282","02","144",46,53.2232154737002
"283","01","233",48,48.1303694848461
"284","01","174",60,52.2029405035785
"285","02","205",47,26.0771594282024
"286","02","190",49,66.2856392421262
"287","01","208",60,47.5960510112154
"288","02","204",56,52.1868060597704
"289","02","154",52,44.0776302256386
"290","02","230",45,34.1798446577366
"291","02","192",57,31.2383217550952
"292","01","161",52,55.072243646775
"293","01","209",58,71.6038508314088
